LogName,Date,Time,ComputerName,SourceName,TaskCategory,EventType,Keywords,OpCode,EventCode,Type,RecordNumber,Message
Security,2023-10-20,19:20:45,CLIENT-PC,Microsoft Windows security auditing.,Process Termination,0,Audit Success,Info,4689,0,605960,"A process has exited."
Security,2023-10-20,19:20:44,CLIENT-PC,Microsoft Windows security auditing.,Process Termination,0,Audit Success,Info,4689,0,605959,"A process has exited."
Security,2023-10-20,19:20:44,CLIENT-PC,Microsoft Windows security auditing.,Process Termination,0,Audit Success,Info,4689,0,605958,"A process has exited."
Security,2023-10-20,19:35:14,CLIENT-PC,Microsoft Windows security auditing.,Token Right Adjusted Events,0,Audit Success,Info,4703,0,606252,"A token right was adjusted."
Security,2023-10-20,19:38:17,CLIENT-PC,Microsoft Windows security auditing.,Process Termination,0,Audit Success,Info,4689,0,606316,"A process has exited."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Success,Info,5156,0,609680,"The Windows Filtering Platform has permitted a connection."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Failure,Info,5157,0,609679,"The Windows Filtering Platform has blocked a connection."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,609678,"The Windows Filtering Platform has blocked a packet."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Failure,Info,5157,0,609677,"The Windows Filtering Platform has blocked a connection."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,609676,"The Windows Filtering Platform has blocked a packet."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Success,Info,5156,0,609675,"The Windows Filtering Platform has permitted a connection."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Success,Info,5156,0,609674,"The Windows Filtering Platform has permitted a connection."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Success,Info,5156,0,609673,"The Windows Filtering Platform has permitted a connection."
Security,2023-10-20,20:10:07,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Packet Drop,0,Audit Failure,Info,5152,0,609672,"The Windows Filtering Platform has blocked a packet."
Security,2023-10-20,20:10:06,CLIENT-PC,Microsoft Windows security auditing.,Filtering Platform Connection,0,Audit Failure,Info,5157,0,609671,"The Windows Filtering Platform has blocked a connection."
